                                                                                                                                                                                                                           28 Feb 2022 17:12:23
Satellite-G1_ND


       Time (UTCG)          X-J2K (km)    Y-J2K (km)    Z-J2K (km)    Vx-J2K (km/sec)    Vy-J2K (km/sec)    Vz-J2K (km/sec)    LAT (deg)    LON (deg)    ALT (km)     Xsun-J2K     Ysun-J2K     Zsun-J2K     Xpm-Y2K      Ypm-J2K      Zpm-J2K 
------------------------    ----------    ----------    ----------    ---------------    ---------------    ---------------    ---------    ---------    --------    ---------    ---------    ---------    ---------    ---------    ---------
 7 Nov 2028 00:00:00.000     -2213.771      3807.081     -5107.045          -4.414546           3.968164           4.875097      -49.489       73.664     377.813    -0.710813    -0.645380    -0.279695     0.690247     0.723571    -0.001958
 7 Nov 2028 00:00:30.000     -2344.891      3923.882     -4957.833          -4.325884           3.817812           5.071408      -47.588       74.235     377.028    -0.710808    -0.645385    -0.279697     0.688663     0.725079    -0.001953
 7 Nov 2028 00:01:00.000     -2473.274      4036.105     -4802.819          -4.232150           3.662963           5.261837      -45.682       74.758     376.230    -0.710802    -0.645391    -0.279699     0.687075     0.726584    -0.001949
 7 Nov 2028 00:01:30.000     -2598.770      4143.617     -4642.184          -4.133449           3.503795           5.446160      -43.772       75.238     375.424    -0.710797    -0.645396    -0.279701     0.685484     0.728085    -0.001944
 7 Nov 2028 00:02:00.000     -2721.232      4246.291     -4476.113          -4.029894           3.340491           5.624156      -41.857       75.681     374.612    -0.710791    -0.645401    -0.279703     0.683889     0.729583    -0.001940
 7 Nov 2028 00:02:30.000     -2840.516      4344.007     -4304.800          -3.921602           3.173238           5.795615      -39.940       76.091     373.796    -0.710786    -0.645406    -0.279705     0.682292     0.731078    -0.001935
 7 Nov 2028 00:03:00.000     -2956.482      4436.648     -4128.443          -3.808697           3.002231           5.960333      -38.018       76.472     372.981    -0.710780    -0.645411    -0.279708     0.680691     0.732569    -0.001931
 7 Nov 2028 00:03:30.000     -3068.993      4524.105     -3947.249          -3.691309           2.827666           6.118111      -36.094       76.827     372.170    -0.710775    -0.645416    -0.279710     0.679086     0.734056    -0.001926
 7 Nov 2028 00:04:00.000     -3177.917      4606.274     -3761.428          -3.569573           2.649746           6.268762      -34.167       77.159     371.364    -0.710769    -0.645421    -0.279712     0.677479     0.735540    -0.001921
 7 Nov 2028 00:04:30.000     -3283.125      4683.058     -3571.197          -3.443628           2.468676           6.412104      -32.238       77.472     370.568    -0.710763    -0.645426    -0.279715     0.675868     0.737020    -0.001917
 7 Nov 2028 00:05:00.000     -3384.494      4754.365     -3376.777          -3.313620           2.284669           6.547964      -30.306       77.766     369.784    -0.710758    -0.645431    -0.279717     0.674254     0.738497    -0.001912
 7 Nov 2028 00:05:30.000     -3481.903      4820.111     -3178.395          -3.179699           2.097938           6.676179      -28.372       78.044     369.015    -0.710752    -0.645436    -0.279720     0.672637     0.739970    -0.001908
 7 Nov 2028 00:06:00.000     -3575.239      4880.217     -2976.284          -3.042020           1.908701           6.796592      -26.436       78.308     368.263    -0.710747    -0.645441    -0.279723     0.671017     0.741440    -0.001903
